DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_lep_pt,PRI_lep_eta,PRI_met,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_all_pt,Label
54.994,34.562,40.652,48.21,2.6997782653989795,297.3980946480025,-0.7261445940045594,1.371,48.21,63.81800000000001,0.8270000000000001,-0.35,0.4502330279018505,34.924,2.347,28.895,2.0,31.313,173.359,0,45.45348983696593,0.8704404045980683,28.546991733904356,0.6905858772078505,-0.0,1
124.353,17.662,70.985,43.68899999999999,4.061635543620131,571.1755412631011,-3.1576335427482225,2.645,43.68899999999999,75.377,0.579,1.379,0.7155271903102669,47.728,-0.6509999999999999,27.648000000000003,-0.918,32.716,119.606,0,45.23520579070194,-0.3521409825141033,30.160251980039853,-0.3072302024484882,-0.0,0
113.963,67.315,90.98,4.08,2.9210234060169604,365.24942953578113,-1.070313911876561,3.179,4.08,63.331,2.149,-1.3130000000000002,0.4765630949568571,20.114,0.045,43.217,2.109,27.272,41.372,0,43.34708163988219,0.5113573205193491,32.919392778147035,0.3753097304620626,0.0,1
71.902,44.999,59.93600000000001,26.878,2.867991843894064,344.2136548915752,-0.9474928424957132,2.053,26.878,55.01300000000001,1.176,-1.32,0.4631732668249793,25.287,2.032,29.726,0.35700000000000004,20.488000000000003,69.751,0,44.07538152203031,0.4177150947756276,31.01040453350533,0.3290051337714056,0.0,1
116.673,20.876,84.40700000000002,64.65,2.450451555272995,255.42571965597574,-0.5940121645243797,2.231,13.005,141.129,1.385,1.3869999999999998,0.4246128112584113,37.306,1.946,51.65,1.109,17.53,265.847,1,52.173,2.645,34.775232553539304,0.4622975466543361,52.173,1
119.703,26.304,87.81299999999997,32.138000000000005,3.633965428874607,512.6932631349538,-2.5502009545966264,2.657,2.748,124.688,0.593,-1.389,0.6549921637050868,56.452,2.345,33.483000000000004,1.739,5.8610000000000015,112.599,1,34.751999999999995,-0.312,33.095559920433466,0.6696711847359632,34.751999999999995,0
130.461,88.537,74.215,14.45,2.6253175264462847,289.41991301767314,-0.5980911009896279,3.062,14.45,78.885,2.04,-1.408,0.4462292142903106,25.953000000000007,1.042,52.932,0.921,38.286,164.41299999999995,0,44.94517922772437,0.3855388148084531,30.865435685648613,0.3047960719482946,0.0,1
108.398,70.577,91.707,16.083,2.4312492642266115,251.25985355688874,-0.33961398507785434,2.217,19.367,132.84,1.075,-1.4,0.42923453537694733,49.109,0.152,52.787,-0.096,39.454,161.495,1,30.945,0.21600000000000005,31.293502784857488,-0.008632115832694402,30.945,1
172.49400000000003,73.368,122.716,2.321,2.841367159881603,348.79654868902264,-0.9869073456870372,2.954,2.321,120.451,1.362,-1.4,0.48551266105759616,50.989,1.208,69.462,1.756,21.061,119.293,0,45.21607664793035,0.6281443035595631,32.080039027946846,0.4880897319224312,-0.0,1
152.425,25.157,95.011,57.86600000000001,3.7058579528573468,507.7098982464505,-2.7084542341321556,3.045,22.405,135.797,1.214,1.409,0.6817305394747688,42.879,0.111,52.047,0.34600000000000003,47.43600000000001,151.30100000000004,1,40.871,-0.5589999999999999,31.63265807513921,0.06842247071894525,40.871,0
